sep=;
TÍTULO;AUTOR;AUTOR INSTITUCIONAL;AÑO;EDITOR;REUNIÓN;SIGNATURA;CÓDIGO DOC;ICS;DESCRIPTORES;RESUMEN
"Agregados gruesos. Método de laboratorio para la determinación de la densidad relativa real, de la densidad relativa aparente y de la absorción de agua";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"2002";"";"";"";"IRAM 1533";"91.100.30-20";"Materiales de construcción; Agregados; Métodos de determinación; Densidad relativa; Absorción; Agua";""
"Cemento. Método de ensayo de la expansión en autoclave";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"2003";"";"";"";"IRAM 1620";"91.100.10";"Materiales de construcción; Cemento; Métodos de ensayo; Expansión; Autoclaves";""
"Características del agua utilizada en hemodiálisis";"";"Asociación Española de Normalización y Certificación (AENOR)";"1990";"";"";"";"UNE 111301";"11.040.60; 71.040.30";"Medicina; Diálisis; Hemodiálisis; Agua; Requisitos; Ensayos";""
"Cintas adhesivas sensibles a la presión. Método de determinación de la permeabilidad al vapor de agua";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1980";"";"";"";"IRAM 45415";"83.180.00";"Cintas adhesivas sensibles a la presión; Métodos de determinación; Permeabilidad; Vapor de agua";""
"Disolventes para uso industrial. Método para detectar impurezas no miscibles con el agua en disolventes solubles en agua";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1974";"";"";"";"IRAM 41506";"71.100.01";"Productos químicos; Disolventes; Disolventes solubles; Metodos de detección; Impurezas; Agua";""
"Cal aérea hidratada, en polvo, para potabilización de agua";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1996";"";"";"";"IRAM 1638";"71.100.80";"Cal; Potabilización; Agua";""
"Cal viva para potabilización de aguas. Determinación de contaminantes";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1997";"";"";"";"IRAM 1645-2";"71.100.80";"Cal; Potabilización; Agua; Métodos de determinación; Contaminantes";""
"Water quality -- Detection and enumeration of Escherichia coli and coliform bacteria -- Part 1: Membrane filtration method";"";"International Organization for Standardization (ISO)";"2007";"";"";"";"ISO 9308-1:2000/Cor 1:2007";"07.100.20";"Agua; Calidad; Análisis de agua; Análisis bacteriológico; Detección; Enumeración; Escherichia coli; Bacterias coliformes; Recuento bacteriano; Membranas; Filtración";""
"Plastics piping systems - Polyethylene (PE) pipes and fittings for water supply - Part 1: General";"";"International Organization for Standardization (ISO)";"2007";"";"";"";"ISO 4427-1";"23.040.20; 23.040.45; 91.140.60; 93.025";"Plásticos; Tuberías; Polietileno; Agua; Métodos de ensayo; Presión; Temperatura; Requerimientos";""
"Plastics piping systems - Polyethylene (PE) pipes and fittings for water supply - Part 3: Fittings";"";"International Organization for Standardization (ISO)";"2007";"";"";"";"ISO 4427-3";"23.040.45; 91.140.60; 93.025";"Plásticos; Tuberías; Polietileno; Agua; Métodos de ensayo; Presión; Temperatura; Abastecimiento de agua; Uniones";""
